country,date,account_cnt,total_country_account_cnt,rank_total_country_account_cnt,send_interval,is_verified,is_unsubscribed,sent_msg,total_country_sent_cnt,rank_total_country_sent_cnt,open_msg,click_msg
Taiwan,2020-11-14,0,500,7,1,1,0,32,9189,9,9,0
United Kingdom,2020-12-07,15,859,4,1,1,0,196,15748,4,67,17
United States,2020-12-10,0,12384,1,7,1,0,19,233503,1,13,3
Canada,2020-12-03,4,2067,3,1,1,1,45,37914,3,26,4
France,2020-11-13,1,553,5,1,1,0,22,9520,6,8,0
Canada,2021-02-21,0,2067,3,1,1,0,76,37914,3,22,1
China,2020-12-24,5,490,8,1,1,0,108,10181,5,24,3
United Kingdom,2020-11-26,7,859,4,1,0,0,0,15748,4,0,0
Germany,2020-11-23,4,490,8,1,0,0,2,9483,8,1,0
Taiwan,2020-12-04,1,500,7,1,0,1,0,9189,9,0,0
Canada,2021-01-23,1,2067,3,1,0,0,0,37914,3,0,0
Canada,2020-12-29,0,2067,3,7,1,1,4,37914,3,4,0
China,2020-12-31,4,490,8,1,1,0,96,10181,5,38,8
China,2020-11-12,1,490,8,1,1,1,9,10181,5,9,0
Italy,2021-02-09,0,386,9,7,1,1,5,7897,11,0,0
Taiwan,2020-11-24,4,500,7,1,0,0,0,9189,9,0,0
Spain,2021-01-25,1,536,6,1,1,1,4,9491,7,0,0
United Kingdom,2021-01-13,4,859,4,1,0,0,2,15748,4,1,0
France,2020-12-04,2,553,5,1,1,1,5,9520,6,0,0
China,2020-12-30,3,490,8,1,1,0,96,10181,5,48,6
Spain,2021-01-07,3,536,6,1,1,1,13,9491,7,3,1
India,2020-12-07,32,2687,2,1,1,0,519,51189,2,180,16
United Kingdom,2020-11-19,3,859,4,1,0,0,3,15748,4,0,0
United States,2020-12-09,33,12384,1,1,1,1,253,233503,1,163,30
United Kingdom,2021-01-13,2,859,4,1,1,1,7,15748,4,3,2
Canada,2020-12-07,1,2067,3,1,0,1,1,37914,3,0,0
Spain,2020-12-30,4,536,6,1,1,0,121,9491,7,35,1
Singapore,2021-01-26,0,375,10,2,1,0,3,8899,10,2,0
Singapore,2020-12-02,0,375,10,1,1,1,16,8899,10,10,1
United States,2020-12-12,22,12384,1,1,1,1,241,233503,1,127,17
Spain,2021-01-03,2,536,6,1,0,0,0,9491,7,0,0
India,2020-12-16,0,2687,2,7,1,0,11,51189,2,11,6
United States,2021-01-02,1,12384,1,1,0,1,0,233503,1,0,0
United States,2021-01-17,0,12384,1,7,1,0,15,233503,1,6,0
Spain,2021-01-22,4,536,6,1,1,0,76,9491,7,13,5
Singapore,2021-01-07,1,375,10,1,1,1,11,8899,10,6,2
Italy,2020-12-26,0,386,9,1,1,1,26,7897,11,4,0
Germany,2021-01-29,0,490,8,7,1,1,3,9483,8,3,0
Canada,2020-12-30,6,2067,3,1,0,0,7,37914,3,1,0
Italy,2021-02-13,0,386,9,3,1,0,6,7897,11,6,1
Canada,2020-12-30,7,2067,3,1,1,1,40,37914,3,24,2
Singapore,2020-12-04,1,375,10,1,1,1,13,8899,10,2,1
United States,2020-11-16,0,12384,1,7,1,0,12,233503,1,8,0
India,2020-11-10,12,2687,2,1,1,0,189,51189,2,84,19
China,2020-12-17,4,490,8,1,1,0,143,10181,5,48,7
China,2021-02-09,0,490,8,1,1,0,62,10181,5,22,1
Germany,2021-01-10,0,490,8,2,1,0,4,9483,8,0,0
Taiwan,2021-01-23,3,500,7,1,0,0,0,9189,9,0,0
Canada,2021-02-03,0,2067,3,1,1,0,258,37914,3,67,4
India,2021-01-26,22,2687,2,1,1,0,472,51189,2,179,20
India,2021-01-25,0,2687,2,7,1,0,1,51189,2,0,0
United Kingdom,2020-11-25,7,859,4,1,1,0,109,15748,4,38,4
United States,2021-01-14,113,12384,1,1,1,0,2302,233503,1,792,98
United States,2021-01-12,0,12384,1,7,1,0,26,233503,1,14,0
Taiwan,2020-12-11,3,500,7,1,1,0,116,9189,9,45,4
Italy,2021-02-15,0,386,9,3,1,0,5,7897,11,5,0
Taiwan,2020-12-17,1,500,7,1,0,1,2,9189,9,0,0
Germany,2020-12-21,0,490,8,2,1,0,4,9483,8,4,0
United States,2020-12-19,0,12384,1,7,1,1,8,233503,1,1,1
Singapore,2020-11-14,1,375,10,1,1,0,43,8899,10,19,2
Spain,2020-12-29,1,536,6,1,1,1,5,9491,7,2,0
Spain,2020-12-25,2,536,6,1,1,0,108,9491,7,37,4
Germany,2020-11-18,3,490,8,1,1,0,48,9483,8,18,2
France,2020-11-28,1,553,5,1,0,0,0,9520,6,0,0
France,2021-02-01,0,553,5,1,1,1,4,9520,6,3,0
India,2021-02-02,0,2687,2,1,1,0,350,51189,2,96,9
Canada,2020-12-22,4,2067,3,1,0,0,3,37914,3,1,0
India,2020-12-09,0,2687,2,3,1,0,2,51189,2,0,0
France,2020-11-21,0,553,5,7,1,1,3,9520,6,3,1
Italy,2021-01-22,1,386,9,1,0,0,0,7897,11,0,0
China,2021-01-28,0,490,8,1,0,0,1,10181,5,0,0
India,2021-01-24,2,2687,2,7,1,1,2,51189,2,2,0
Singapore,2021-02-16,0,375,10,1,1,0,35,8899,10,20,1
Canada,2020-12-28,5,2067,3,1,0,0,2,37914,3,0,0
France,2020-11-10,2,553,5,1,1,0,15,9520,6,3,0
Germany,2021-02-12,0,490,8,1,1,0,57,9483,8,18,4
United States,2020-12-17,4,12384,1,1,0,1,4,233503,1,0,0
China,2020-11-10,3,490,8,1,1,1,7,10181,5,7,1
Singapore,2021-01-01,1,375,10,1,0,0,2,8899,10,0,0
Spain,2021-01-23,2,536,6,1,1,0,67,9491,7,10,1
United States,2020-11-11,5,12384,1,1,0,1,4,233503,1,0,0
United Kingdom,2021-01-03,2,859,4,1,1,0,127,15748,4,37,6
United States,2020-12-06,30,12384,1,1,0,0,25,233503,1,6,0
India,2021-01-31,0,2687,2,1,0,0,1,51189,2,0,0
Germany,2020-12-03,1,490,8,1,0,0,0,9483,8,0,0
Singapore,2020-11-22,1,375,10,1,1,1,12,8899,10,11,0
Germany,2020-12-26,0,490,8,2,1,0,7,9483,8,1,0
United States,2020-11-30,38,12384,1,1,0,0,27,233503,1,6,0
Germany,2021-01-02,1,490,8,1,1,1,6,9483,8,6,1
Italy,2021-02-17,0,386,9,3,1,0,6,7897,11,4,0
Taiwan,2021-01-18,2,500,7,1,1,0,91,9189,9,10,1
Singapore,2020-12-16,1,375,10,7,1,1,5,8899,10,5,1
Canada,2020-11-01,3,2067,3,1,1,1,2,37914,3,2,0
India,2020-11-05,13,2687,2,1,1,0,111,51189,2,51,10
Taiwan,2021-01-01,1,500,7,1,1,0,81,9189,9,23,0
India,2020-12-09,1,2687,2,7,1,1,0,51189,2,0,0
Italy,2020-12-21,2,386,9,1,1,1,26,7897,11,9,2
Germany,2021-01-01,0,490,8,2,1,0,6,9483,8,2,0
United States,2020-11-04,46,12384,1,1,0,0,28,233503,1,4,0
Taiwan,2020-12-04,2,500,7,1,1,0,73,9189,9,20,3
United States,2020-11-23,2,12384,1,1,0,1,4,233503,1,0,0
Germany,2021-01-25,2,490,8,1,0,0,0,9483,8,0,0
Germany,2020-11-16,2,490,8,1,0,0,1,9483,8,0,0
France,2020-11-08,1,553,5,1,1,0,4,9520,6,1,0
India,2021-01-14,0,2687,2,7,1,0,6,51189,2,1,0
India,2020-12-25,0,2687,2,7,1,1,4,51189,2,0,0
France,2021-01-23,1,553,5,1,0,0,0,9520,6,0,0
Germany,2021-02-04,0,490,8,1,1,1,5,9483,8,5,0
Singapore,2021-01-22,1,375,10,1,0,1,0,8899,10,0,0
France,2021-01-25,1,553,5,1,1,1,3,9520,6,0,0
India,2020-11-06,12,2687,2,1,0,0,12,51189,2,5,0
China,2021-01-29,0,490,8,1,1,1,3,10181,5,2,1
Singapore,2020-11-30,1,375,10,1,1,0,58,8899,10,10,2
India,2020-11-24,17,2687,2,1,1,0,413,51189,2,147,25
Taiwan,2020-12-06,0,500,7,7,1,0,2,9189,9,0,0
United States,2020-11-20,1,12384,1,2,1,0,0,233503,1,0,0
Spain,2020-12-09,2,536,6,1,1,1,4,9491,7,2,0
France,2020-12-15,3,553,5,1,1,0,88,9520,6,26,1
France,2021-02-02,0,553,5,1,1,1,2,9520,6,2,0
Taiwan,2020-12-17,6,500,7,1,1,0,111,9189,9,26,2
Germany,2020-12-01,5,490,8,1,0,0,0,9483,8,0,0
Italy,2021-01-03,0,386,9,1,1,1,17,7897,11,3,0
United States,2021-01-21,0,12384,1,3,1,0,3,233503,1,3,0
India,2020-11-08,2,2687,2,1,1,1,15,51189,2,8,1
India,2021-01-30,0,2687,2,3,1,0,2,51189,2,0,0
Spain,2021-02-19,0,536,6,1,1,0,7,9491,7,5,3
Canada,2021-01-04,0,2067,3,7,1,1,2,37914,3,2,0
China,2020-12-29,1,490,8,1,1,0,98,10181,5,37,6
Canada,2020-12-12,4,2067,3,1,1,1,44,37914,3,37,5
India,2020-12-19,5,2687,2,1,1,1,79,51189,2,42,3
Canada,2020-11-04,2,2067,3,1,1,1,10,37914,3,8,0
Taiwan,2021-01-13,0,500,7,1,1,1,14,9189,9,9,4
Canada,2021-01-13,0,2067,3,3,1,0,5,37914,3,5,0
Spain,2020-12-22,1,536,6,1,0,1,0,9491,7,0,0
Italy,2021-01-15,1,386,9,7,1,1,0,7897,11,0,0
United Kingdom,2020-11-12,2,859,4,1,0,0,2,15748,4,0,0
Canada,2020-11-09,4,2067,3,1,0,0,3,37914,3,1,0
Spain,2021-01-06,4,536,6,1,0,0,1,9491,7,0,0
Singapore,2020-12-06,1,375,10,1,1,1,11,8899,10,5,1
Italy,2020-11-30,0,386,9,1,1,1,8,7897,11,3,0
China,2020-12-19,2,490,8,1,1,0,143,10181,5,46,7
United States,2020-12-23,61,12384,1,1,1,0,2711,233503,1,902,90
Taiwan,2020-11-08,1,500,7,1,1,0,32,9189,9,10,1
France,2020-11-17,1,553,5,1,0,0,1,9520,6,1,0
China,2020-11-06,1,490,8,1,0,0,1,10181,5,0,0
United States,2021-01-06,66,12384,1,1,0,0,22,233503,1,9,0
Italy,2021-02-20,0,386,9,1,1,1,2,7897,11,2,0
India,2020-12-26,1,2687,2,1,1,1,58,51189,2,21,4
Taiwan,2021-01-23,1,500,7,1,1,1,12,9189,9,3,0
Taiwan,2021-01-17,1,500,7,1,1,0,94,9189,9,11,2
Germany,2021-01-24,3,490,8,1,0,0,0,9483,8,0,0
India,2020-12-16,0,2687,2,3,1,0,2,51189,2,0,0
Canada,2020-11-18,17,2067,3,1,1,0,236,37914,3,82,10
Canada,2021-02-07,0,2067,3,7,1,1,1,37914,3,0,0
Germany,2020-12-24,1,490,8,1,1,0,98,9483,8,29,3
Spain,2020-12-12,3,536,6,1,0,0,1,9491,7,0,0
Italy,2020-12-18,1,386,9,1,1,0,77,7897,11,29,8
India,2020-11-19,8,2687,2,1,0,0,4,51189,2,1,0
United Kingdom,2020-12-01,0,859,4,1,1,1,3,15748,4,2,0
Canada,2020-12-30,21,2067,3,1,1,0,411,37914,3,121,9
France,2020-11-18,3,553,5,1,0,0,2,9520,6,1,0
India,2020-12-28,0,2687,2,7,1,1,2,51189,2,1,1
China,2020-11-28,2,490,8,1,0,0,1,10181,5,0,0
Canada,2021-01-11,0,2067,3,3,1,0,6,37914,3,6,0
France,2020-11-24,3,553,5,1,0,0,2,9520,6,2,0
Spain,2020-12-26,5,536,6,1,1,0,120,9491,7,48,7
France,2021-02-04,0,553,5,1,1,0,95,9520,6,31,3
India,2020-12-27,0,2687,2,7,1,1,4,51189,2,1,0
Canada,2021-02-13,0,2067,3,1,1,0,170,37914,3,51,6
Taiwan,2020-12-13,1,500,7,1,0,0,1,9189,9,1,0
Canada,2020-12-08,18,2067,3,1,0,0,10,37914,3,1,0
Taiwan,2021-01-27,1,500,7,1,1,0,87,9189,9,24,1
China,2020-12-19,0,490,8,7,1,1,7,10181,5,0,0
Spain,2021-01-17,0,536,6,1,1,0,74,9491,7,14,0
United Kingdom,2020-12-06,0,859,4,7,1,0,1,15748,4,1,0
Spain,2021-01-08,6,536,6,1,1,0,87,9491,7,30,1
Canada,2021-02-18,0,2067,3,1,1,1,7,37914,3,6,1
Taiwan,2020-11-18,1,500,7,1,1,0,60,9189,9,18,4
India,2021-01-17,4,2687,2,1,1,1,21,51189,2,8,0
Germany,2020-11-11,1,490,8,1,0,1,0,9483,8,0,0
Spain,2020-12-27,0,536,6,1,1,0,118,9491,7,37,3
France,2021-02-01,0,553,5,1,1,0,120,9520,6,39,4
Italy,2021-01-02,0,386,9,1,0,0,1,7897,11,0,0
Canada,2020-12-29,1,2067,3,1,1,1,34,37914,3,13,4
Canada,2021-02-11,0,2067,3,1,0,0,5,37914,3,2,0
Italy,2021-02-09,0,386,9,1,1,0,41,7897,11,8,1
United States,2021-01-02,1,12384,1,7,1,0,17,233503,1,6,2
France,2021-01-02,0,553,5,1,1,1,23,9520,6,16,0
France,2021-01-19,0,553,5,1,1,1,3,9520,6,2,0
Singapore,2020-11-07,1,375,10,1,1,1,2,8899,10,2,1
Canada,2021-01-26,4,2067,3,1,1,1,25,37914,3,17,0
Germany,2020-12-09,2,490,8,1,1,1,1,9483,8,1,0
Germany,2020-12-28,3,490,8,1,1,0,97,9483,8,23,1
Italy,2021-02-05,0,386,9,1,1,1,4,7897,11,2,0
Canada,2021-02-12,0,2067,3,7,1,0,4,37914,3,0,0
China,2020-12-25,3,490,8,1,1,0,112,10181,5,22,3
Germany,2020-12-22,3,490,8,1,1,0,93,9483,8,26,0
United States,2020-11-13,0,12384,1,3,1,0,2,233503,1,2,1
France,2020-11-23,2,553,5,1,1,1,3,9520,6,0,0
Singapore,2020-11-29,0,375,10,1,1,1,7,8899,10,2,0
Canada,2021-02-01,0,2067,3,1,0,0,1,37914,3,0,0
United Kingdom,2020-12-16,1,859,4,1,0,0,3,15748,4,0,0
France,2020-12-05,1,553,5,1,0,0,0,9520,6,0,0
United States,2021-01-25,2,12384,1,1,0,1,14,233503,1,2,0
Singapore,2021-01-30,0,375,10,1,1,1,5,8899,10,0,0
Italy,2021-02-02,0,386,9,7,1,1,5,7897,11,0,0
France,2021-01-24,2,553,5,1,1,0,122,9520,6,48,8
Germany,2020-12-24,0,490,8,1,1,1,10,9483,8,10,0
India,2021-01-16,14,2687,2,1,1,0,470,51189,2,177,29
United States,2021-02-09,0,12384,1,1,1,1,97,233503,1,32,3
China,2020-11-23,1,490,8,1,0,0,1,10181,5,0,0
China,2020-12-23,0,490,8,7,1,1,4,10181,5,2,0
Canada,2020-12-06,2,2067,3,1,1,1,48,37914,3,33,3
Taiwan,2021-02-25,0,500,7,1,1,0,5,9189,9,0,0
United States,2020-11-20,43,12384,1,1,0,0,25,233503,1,12,0
Taiwan,2021-01-27,2,500,7,1,0,0,0,9189,9,0,0
Germany,2021-01-12,6,490,8,1,1,0,166,9483,8,58,4
Taiwan,2020-12-25,1,500,7,1,1,1,5,9189,9,5,0
India,2020-11-10,1,2687,2,1,0,1,0,51189,2,0,0
Germany,2020-11-11,4,490,8,1,1,0,32,9483,8,13,2
Germany,2021-02-04,0,490,8,1,1,0,58,9483,8,12,3
Canada,2020-11-03,8,2067,3,1,0,0,3,37914,3,0,0
India,2020-11-28,1,2687,2,1,0,1,6,51189,2,0,0
Singapore,2021-01-16,0,375,10,1,1,1,9,8899,10,7,0
Spain,2020-11-30,4,536,6,1,1,0,130,9491,7,46,5
Canada,2021-01-05,0,2067,3,3,1,0,12,37914,3,9,0
Canada,2020-12-31,5,2067,3,1,1,1,46,37914,3,26,6
Singapore,2020-12-15,2,375,10,1,0,0,0,8899,10,0,0
China,2021-02-19,0,490,8,1,1,0,22,10181,5,5,2
Germany,2020-12-10,3,490,8,1,1,0,107,9483,8,37,3
Taiwan,2020-11-26,3,500,7,1,1,0,99,9189,9,34,3
Italy,2020-11-15,0,386,9,7,1,1,6,7897,11,0,0
Canada,2021-01-27,4,2067,3,1,1,1,28,37914,3,18,7
Canada,2020-12-11,7,2067,3,1,0,0,10,37914,3,1,0
France,2020-12-02,3,553,5,1,0,0,0,9520,6,0,0
United States,2020-12-19,14,12384,1,1,1,1,267,233503,1,128,12
Singapore,2020-11-18,2,375,10,1,0,0,0,8899,10,0,0
United Kingdom,2021-01-14,5,859,4,1,0,0,3,15748,4,0,0
United States,2020-11-29,0,12384,1,7,1,0,14,233503,1,7,2
United States,2020-11-28,0,12384,1,1,0,1,1,233503,1,0,0
China,2020-11-06,0,490,8,1,1,1,2,10181,5,2,0
India,2021-01-05,10,2687,2,1,1,0,546,51189,2,224,23
Canada,2020-12-21,11,2067,3,1,1,0,491,37914,3,193,15
Spain,2020-12-02,1,536,6,1,1,1,6,9491,7,1,0
United Kingdom,2020-12-03,3,859,4,1,1,1,0,15748,4,0,0
India,2021-02-03,0,2687,2,1,1,0,332,51189,2,102,8
United Kingdom,2021-01-10,0,859,4,1,0,1,7,15748,4,0,0
China,2021-01-25,2,490,8,1,1,0,134,10181,5,46,4
Italy,2021-01-30,0,386,9,7,1,1,5,7897,11,0,0
India,2020-12-26,0,2687,2,7,1,1,4,51189,2,0,0
United States,2020-12-10,1,12384,1,7,1,1,0,233503,1,0,0
France,2021-01-21,0,553,5,3,1,0,3,9520,6,0,0
India,2021-01-05,5,2687,2,1,1,1,38,51189,2,16,2
United States,2020-11-22,1,12384,1,1,0,1,4,233503,1,1,0
France,2020-11-26,1,553,5,1,0,1,0,9520,6,0,0
Canada,2021-01-10,2,2067,3,1,1,0,299,37914,3,96,13
France,2020-11-30,4,553,5,1,0,0,4,9520,6,1,0
United Kingdom,2021-01-09,0,859,4,1,0,1,7,15748,4,0,0
Canada,2020-12-14,0,2067,3,7,1,0,10,37914,3,2,1
France,2021-01-03,0,553,5,7,1,0,3,9520,6,0,0
United Kingdom,2020-12-10,9,859,4,1,1,0,181,15748,4,55,9
China,2021-01-11,7,490,8,1,1,0,104,10181,5,44,8
India,2021-02-23,0,2687,2,7,1,0,1,51189,2,0,0
Taiwan,2020-12-31,3,500,7,1,0,0,0,9189,9,0,0
Italy,2021-02-04,0,386,9,1,1,1,3,7897,11,0,0
Germany,2020-11-28,1,490,8,1,0,1,0,9483,8,0,0
France,2020-12-14,0,553,5,1,0,1,3,9520,6,3,0
France,2021-01-05,0,553,5,7,1,0,5,9520,6,3,1
India,2020-12-16,9,2687,2,1,1,1,70,51189,2,38,7
Canada,2021-01-22,0,2067,3,7,1,0,3,37914,3,0,0
Spain,2020-11-07,2,536,6,1,1,0,28,9491,7,10,3
France,2021-01-24,0,553,5,3,1,0,3,9520,6,0,0
Canada,2020-11-22,1,2067,3,3,1,0,0,37914,3,0,0
Italy,2021-01-23,0,386,9,7,1,1,5,7897,11,0,0
United States,2020-11-17,0,12384,1,7,1,1,5,233503,1,5,0
France,2020-12-02,1,553,5,1,1,1,10,9520,6,1,0
United States,2020-11-10,0,12384,1,7,1,1,17,233503,1,17,4
United States,2021-02-02,0,12384,1,1,1,1,193,233503,1,76,7
India,2021-02-25,0,2687,2,1,1,0,9,51189,2,0,0
France,2020-12-13,1,553,5,1,1,1,10,9520,6,5,0
Canada,2021-01-18,0,2067,3,7,1,0,1,37914,3,1,0
France,2020-12-21,0,553,5,7,1,1,7,9520,6,1,1
United Kingdom,2021-01-12,0,859,4,7,1,0,6,15748,4,2,0
China,2020-11-29,4,490,8,1,1,0,78,10181,5,20,0
United States,2020-11-07,54,12384,1,1,1,0,557,233503,1,226,28
China,2020-12-20,1,490,8,1,1,1,13,10181,5,13,0
France,2021-02-02,0,553,5,1,1,0,108,9520,6,36,8
India,2020-11-14,6,2687,2,1,0,0,6,51189,2,4,0
Spain,2021-01-12,3,536,6,1,0,0,0,9491,7,0,0
United States,2021-02-17,0,12384,1,1,1,0,659,233503,1,250,18
United Kingdom,2020-12-13,1,859,4,1,0,0,3,15748,4,0,0
Spain,2020-12-10,1,536,6,1,0,0,0,9491,7,0,0
Canada,2021-02-04,0,2067,3,7,1,1,2,37914,3,0,0
United States,2020-11-10,34,12384,1,1,0,0,20,233503,1,8,0
United Kingdom,2020-12-25,7,859,4,1,1,0,180,15748,4,32,3
United States,2021-01-15,2,12384,1,1,0,1,13,233503,1,0,0
France,2021-01-23,0,553,5,7,1,0,6,9520,6,0,0
India,2020-12-12,20,2687,2,1,1,0,538,51189,2,171,20
Germany,2021-02-05,0,490,8,1,1,1,5,9483,8,5,0
Singapore,2020-11-25,2,375,10,1,1,0,66,8899,10,14,3
China,2020-11-16,0,490,8,1,1,1,4,10181,5,4,0
United States,2020-11-28,3,12384,1,7,1,0,12,233503,1,4,1
Canada,2020-11-05,8,2067,3,1,1,0,46,37914,3,13,3
Italy,2021-01-27,2,386,9,1,0,0,2,7897,11,0,0
Taiwan,2020-12-31,0,500,7,1,1,1,12,9189,9,5,0
United Kingdom,2021-01-13,0,859,4,1,0,1,7,15748,4,0,0
Italy,2021-02-07,0,386,9,7,1,1,5,7897,11,0,0
Singapore,2021-01-12,4,375,10,1,1,0,127,8899,10,36,3
Taiwan,2020-12-22,2,500,7,1,0,0,3,9189,9,1,0
Italy,2021-02-08,0,386,9,1,1,0,44,7897,11,15,0
India,2020-11-22,17,2687,2,1,1,0,376,51189,2,125,16
United Kingdom,2020-12-30,1,859,4,1,1,1,14,15748,4,6,0
Canada,2020-11-28,2,2067,3,1,1,1,31,37914,3,22,6
India,2021-01-23,0,2687,2,1,0,1,5,51189,2,4,0
Taiwan,2021-01-13,0,500,7,1,0,0,1,9189,9,0,0
India,2020-12-08,8,2687,2,1,1,1,33,51189,2,11,1
India,2020-12-12,1,2687,2,7,1,1,1,51189,2,1,0
India,2020-11-30,0,2687,2,1,0,1,6,51189,2,3,3
United States,2020-11-28,59,12384,1,1,1,0,1975,233503,1,680,75
India,2021-01-18,0,2687,2,7,1,0,2,51189,2,1,0
United Kingdom,2020-11-07,1,859,4,1,1,1,7,15748,4,7,0
China,2021-01-04,2,490,8,1,1,0,112,10181,5,48,8
Singapore,2020-12-22,1,375,10,1,1,1,0,8899,10,0,0
United States,2020-11-15,11,12384,1,1,1,1,101,233503,1,35,5
United States,2020-12-18,0,12384,1,3,1,0,11,233503,1,4,1
India,2020-11-07,9,2687,2,1,0,0,4,51189,2,0,0
Singapore,2021-01-15,3,375,10,1,1,0,111,8899,10,45,1
Taiwan,2021-01-21,4,500,7,1,0,0,0,9189,9,0,0
India,2021-01-16,3,2687,2,1,1,1,37,51189,2,17,2
France,2020-12-10,4,553,5,1,1,0,84,9520,6,17,0
India,2020-12-24,3,2687,2,1,0,0,3,51189,2,0,0
United States,2020-11-09,16,12384,1,1,1,1,84,233503,1,57,7
India,2021-01-04,0,2687,2,7,1,0,2,51189,2,0,0
India,2021-01-01,4,2687,2,1,1,0,560,51189,2,189,22
Singapore,2020-11-11,1,375,10,7,1,0,0,8899,10,0,0
China,2020-12-23,5,490,8,1,0,0,3,10181,5,3,0
Germany,2020-12-20,7,490,8,1,1,0,106,9483,8,34,2
Italy,2021-01-20,0,386,9,1,1,1,5,7897,11,5,1
Spain,2020-12-23,0,536,6,1,0,0,6,9491,7,0,0
Canada,2020-12-13,17,2067,3,1,1,0,469,37914,3,183,30
Italy,2021-01-31,0,386,9,1,0,0,1,7897,11,0,0
Germany,2020-11-29,1,490,8,1,1,0,56,9483,8,24,0
Singapore,2020-12-16,6,375,10,1,1,0,72,8899,10,13,4
United Kingdom,2020-11-15,1,859,4,1,1,1,14,15748,4,13,0
Germany,2020-12-11,1,490,8,1,0,0,3,9483,8,1,0
Italy,2021-01-02,3,386,9,1,1,0,88,7897,11,37,3
United Kingdom,2020-12-14,11,859,4,1,1,0,203,15748,4,77,18
France,2020-12-25,0,553,5,1,1,1,30,9520,6,23,2
United States,2020-11-16,0,12384,1,2,1,0,2,233503,1,0,0
United States,2020-12-20,2,12384,1,7,1,0,22,233503,1,11,4
Spain,2020-11-30,0,536,6,1,0,0,1,9491,7,0,0
Taiwan,2021-01-20,0,500,7,1,1,1,3,9189,9,3,0
United States,2020-11-05,37,12384,1,1,0,0,30,233503,1,11,0
United States,2020-11-04,2,12384,1,7,1,0,3,233503,1,3,2
Spain,2020-12-03,1,536,6,1,0,1,3,9491,7,0,0
Spain,2020-11-28,0,536,6,1,1,1,10,9491,7,5,0
Singapore,2021-01-09,1,375,10,1,1,1,14,8899,10,7,1
China,2020-12-30,1,490,8,1,1,1,10,10181,5,8,0
United Kingdom,2021-01-07,2,859,4,1,0,0,0,15748,4,0,0
United States,2021-01-23,0,12384,1,7,1,1,5,233503,1,1,0
Singapore,2020-12-30,2,375,10,1,0,0,2,8899,10,1,0
Spain,2020-12-06,1,536,6,1,0,0,1,9491,7,1,0
Canada,2021-01-09,2,2067,3,1,1,1,50,37914,3,34,4
China,2020-12-23,0,490,8,1,1,1,14,10181,5,12,0
Taiwan,2020-12-05,7,500,7,1,1,0,94,9189,9,31,4
United States,2021-01-29,0,12384,1,7,1,0,12,233503,1,7,0
United States,2021-01-16,75,12384,1,1,1,0,2214,233503,1,720,83
United States,2020-11-25,27,12384,1,1,1,1,184,233503,1,93,12
Germany,2020-11-12,4,490,8,1,1,0,36,9483,8,14,2
United States,2021-01-04,35,12384,1,1,0,0,19,233503,1,4,1
Italy,2021-01-08,0,386,9,1,1,1,11,7897,11,0,0
Spain,2021-01-02,2,536,6,1,0,0,0,9491,7,0,0
United States,2021-02-17,0,12384,1,7,1,0,6,233503,1,5,0
Italy,2021-01-03,2,386,9,1,1,0,86,7897,11,33,2
United Kingdom,2021-01-05,0,859,4,1,0,1,7,15748,4,0,0
Spain,2020-12-26,1,536,6,1,0,0,0,9491,7,0,0
France,2020-11-19,6,553,5,1,1,0,37,9520,6,10,2
China,2020-11-03,4,490,8,1,1,0,5,10181,5,0,0
France,2021-01-16,2,553,5,1,0,0,2,9520,6,0,0
China,2020-12-09,2,490,8,1,0,0,1,10181,5,0,0
China,2021-02-03,0,490,8,1,1,1,3,10181,5,1,0
United States,2020-11-11,0,12384,1,3,1,0,5,233503,1,3,2
Canada,2020-11-26,0,2067,3,1,0,1,3,37914,3,1,0
China,2020-12-06,0,490,8,1,1,1,16,10181,5,15,5
Italy,2020-12-26,1,386,9,1,0,0,0,7897,11,0,0
Singapore,2020-12-09,1,375,10,1,1,0,83,8899,10,14,4
Taiwan,2021-01-16,2,500,7,1,0,0,4,9189,9,0,0
United States,2020-11-16,27,12384,1,1,0,0,23,233503,1,3,0
Canada,2021-01-18,11,2067,3,1,1,0,306,37914,3,110,9
United States,2020-11-23,2,12384,1,7,1,0,14,233503,1,6,0
India,2020-12-07,9,2687,2,1,1,1,28,51189,2,10,4
Singapore,2021-01-14,1,375,10,1,0,0,0,8899,10,0,0
Germany,2021-02-06,0,490,8,1,1,1,1,9483,8,1,0
Italy,2021-01-09,2,386,9,1,1,0,103,7897,11,28,1
Spain,2020-11-23,1,536,6,1,1,1,0,9491,7,0,0
India,2021-01-29,0,2687,2,1,1,0,434,51189,2,149,12
United States,2020-12-14,2,12384,1,7,1,1,0,233503,1,0,0
China,2021-01-10,0,490,8,1,1,1,5,10181,5,0,0
United States,2020-11-27,0,12384,1,7,1,0,17,233503,1,6,3
Canada,2020-12-26,0,2067,3,7,1,1,2,37914,3,2,0
India,2021-01-18,6,2687,2,1,0,0,6,51189,2,2,0
Singapore,2021-01-02,0,375,10,2,1,0,7,8899,10,0,0
India,2021-02-17,0,2687,2,1,1,0,142,51189,2,54,7
Spain,2020-12-17,1,536,6,1,0,0,1,9491,7,0,0
Canada,2020-12-24,0,2067,3,7,1,0,9,37914,3,6,0
Italy,2020-11-24,2,386,9,1,0,0,3,7897,11,2,0
Italy,2021-01-30,0,386,9,1,1,0,56,7897,11,16,0
Italy,2021-01-26,2,386,9,1,1,0,68,7897,11,26,0
